date,M1,M2,M3
2019-11-01,880771.97823888,1046410.4843115755,1344353.034213908
2019-12-01,911825.0643195,1078346.8963702978,1370518.2551534872
2020-01-01,901990.4416691901,1069640.2163992606,1350550.1018476696
2020-02-01,900564.27976025,1068604.7489994646,1350752.6028899872
2020-03-01,927168.9929495901,1093610.0220569868,1381619.7198121164
2020-04-01,930545.59850689,1097707.3217510136,1390569.4100986598
2020-05-02,950230.25671348,1118736.0191019978,1409609.1594317835
2020-06-01,978052.17022402,1144357.5747194968,1435072.9710757872
2020-07-02,988795.18006668,1155665.5437043023,1441721.6434084373
2020-08-03,981457.1532177101,1149273.2105047726,1431201.8163462514
2020-09-04,992546.33356399,1160903.335762456,1444883.4029594194
2020-10-01,990362.86818261,1159159.3340057312,1442106.8933126484
2020-11-28,995117.3002123401,1164079.9466062805,1448334.826967891
2020-12-29,1019382.2885543699,1188754.5086515967,1485118.133004469
2021-01-01,1012397.5987291001,1182577.7046810363,1476456.0731330193
2021-02-02,1009241.7905951501,1180144.8826261195,1474796.9536195653
2021-03-03,1016612.7336190899,1187893.6739051936,1486469.8771010123
2021-04-01,1016677.61300231,1188513.7588120946,1494195.8043917692
2021-05-02,1024206.0309446601,1196472.0804211127,1505641.7388832239
2021-06-02,1042969.27744066,1214726.5993208308,1541708.4541070322
2021-07-03,1048993.7368016602,1222002.129988565,1540934.2480208776
2021-08-04,1052398.31448867,1225271.642750034,1538620.1669129888
2021-09-02,1058406.318766,1231818.2295422694,1551352.9473668274
2021-10-01,1053447.8530833,1226937.416561409,1545555.0764137127
2021-11-02,1057226.67405824,1230481.6645233824,1551610.5045682243
2021-12-04,1086832.7646592201,1260987.6654569283,1560769.1882539429
2022-01-05,1076408.73469688,1250996.2614229333,1553243.9737797403
2022-02-06,1071514.64230372,1246378.024711126,1555829.6606844203
2022-03-10,1094002.6321918298,1269223.5354350014,1580511.8625572508
2022-04-11,1094508.38821552,1270569.6878336677,1573604.3717646925
2022-05-13,1101211.3080537398,1277411.4269064376,1580157.0984250926
2022-06-14,1121993.33976813,1297961.6027128547,1609172.0953300237
